Cuadro AIII. Distribución del consumo ocasional de cigarros,,,,,,,,,,,
Año,Grupo,<5 cigarros,,5 a 9 cigarros,,10 a 14 cigarros,,15 a 24 cigarros,,≥25,
,sociodemográfico,%,IC95%,%,IC95%,%,IC95%,%,IC95%,%,IC95%
2009,Preparatoria,58.3,"49.5, 67.1",20.7,"14.1, 27.3",10.1,"4.5, 15.7",7.9,"2.7, 13",3.1,"0.8, 5.4"
2015,Preparatoria,60.2,"51.6, 68.7",16.8,"11, 22.7",14.1,"6.7, 21.6",6.2,"1.8, 10.5",2.7,"0.5, 4.9"
2016,Preparatoria,54.9,"50.4, 59.5",19.6,"16, 23.1",12.8,"9.5, 16.1",7.3,"4.6, 10",5.4,"3.6, 7.2"
2023,Preparatoria,69.1,"60.3, 77.9",14.3,"8.2, 20.4",8.8,"3.6, 14.1",7.1,"2.5, 11.7",0.7,"-0.1, 1.5"
2025,Preparatoria,17.1,"11.7, 22.6",36.8,"29.2, 44.4",23.2,"15.9, 30.6",9.4,"4.1, 14.7",13.4,"7.9, 18.9"
2009,Superior o más,56.1,"43, 69.2",23.2,"12.1, 34.2",12.1,"0.2, 23.9",7.8,"2.7, 13",0.9,"-0.8, 2.5"
2015,Superior o más,65.2,"53.2, 77.2",17.5,"7.3, 27.7",2.5,"-0.2, 5.1",13,"4.4, 21.6",1.8,"-0.7, 4.3"
2016,Superior o más,55,"48.4, 61.5",20.4,"15, 25.8",9.3,"5.7, 12.9",8.9,"5.3, 12.4",6.4,"3.9, 9"
2023,Superior o más,67.7,"52.4, 83.1",12.1,"5.3, 18.9",9.9,"-5.8, 25.6",9.2,"1.7, 16.7",1.1,"-0.9, 3.2"
2025,Superior o más,19.6,"13.5, 25.7",32.5,"23.2, 41.8",19,"8.6, 29.4",12.7,"5.6, 19.7",16.2,"9.8, 22.6"
IC95%: Intervalo de confianza al 95%.,,,,,,,,,,,
